-80,46,2,25,24,22,21,19,17,16,14,15,17,17,15,14,14,16,17,18,18,15,14,13,14,15,14,12,2,0,0,0,0,0,0,0,0,0,6,25,25,25,25,26,27,26,25,26,28,29,29,27,25,25,26,25,24,23,24,25,24,25,27,28,27
-79,98,6,25,25,22,19,20,20,20,19,20,21,20,19,19,20,21,21,20,19,18,18,17,16,15,13,12,2,0,0,0,0,0,0,0,0,0,5,21,24,26,25,25,26,26,26,26,28,28,27,28,28,26,26,25,24,25,25,25,24,24,27,27,26
-79,98,6,27,26,23,23,23,21,20,19,19,19,22,23,22,24,25,24,23,23,22,22,22,21,19,17,16,4,0,0,0,0,0,0,0,0,0,5,20,20,20,22,23,23,23,23,24,26,28,27,25,25,26,27,26,25,25,24,25,25,26,28,28,26
-83,131,5,20,20,19,19,18,16,14,17,23,20,16,16,17,18,19,21,21,20,20,21,22,21,18,16,19,5,0,0,0,0,0,0,0,0,0,5,21,22,22,21,20,20,20,21,22,22,20,21,21,20,19,20,19,19,20,21,20,18,20,22,22,22
-81,163,8,25,24,21,19,19,16,15,18,22,21,19,19,19,19,21,21,23,24,23,22,21,21,22,21,19,4,0,0,0,0,0,0,0,0,0,6,24,25,28,29,27,27,28,28,27,27,28,28,27,25,25,25,24,22,22,22,22,23,24,25,26,27
-90,114,14,7,7,9,8,7,7,9,12,15,10,7,7,7,9,8,9,10,6,5,7,9,8,9,10,12,3,0,0,0,0,0,0,0,0,0,4,14,14,14,14,14,14,14,12,10,12,14,17,16,13,12,14,12,12,11,10,9,10,9,9,10,8
-82,114,14,23,23,23,22,21,20,17,14,13,16,18,19,20,21,21,22,23,22,22,21,21,21,20,19,18,5,0,0,0,0,0,0,0,0,0,6,23,21,22,23,21,21,23,23,23,24,26,27,26,26,25,25,22,21,23,24,23,24,24,25,26,26
-82,121,38,24,22,21,20,20,20,17,21,25,21,17,18,20,20,21,23,24,25,25,24,24,25,24,21,21,5,0,0,0,0,0,0,0,0,0,5,22,22,24,26,26,25,24,23,24,26,27,28,25,22,23,23,23,23,24,22,23,24,24,25,24,24
-82,125,20,18,16,17,18,17,15,15,18,20,20,21,23,25,24,23,24,24,23,23,23,23,23,22,21,20,5,0,0,0,0,0,0,0,0,0,6,25,26,26,25,23,24,25,26,26,26,26,24,22,20,21,23,21,20,19,19,19,19,19,19,19,21
-86,125,20,11,9,7,5,5,4,4,2,4,5,7,8,11,13,15,15,14,14,13,12,12,12,12,12,11,3,0,0,0,0,0,0,0,0,0,7,28,26,26,27,26,26,25,24,23,23,26,26,23,20,20,22,21,19,19,20,20,19,17,16,14,14
-87,125,20,15,12,10,10,8,7,8,14,22,20,16,18,20,20,18,18,21,21,19,18,18,20,18,16,13,3,0,0,0,0,0,0,0,0,0,5,21,22,23,20,18,17,17,17,18,20,19,18,16,16,19,19,18,18,18,18,17,17,18,18,17,15
