-54,114,14,32,25,17,10,4,8,16,24,31,36,40,41,42,39,37,33,28,22,15,8,5,9,14,18,21,6,0,0,0,0,0,0,0,0,0,2,8,9,13,16,21,25,29,31,33,32,30,28,25,19,14,9,7,10,16,22,29,34,37,40,43,43
-80,114,14,25,28,29,29,30,28,27,24,17,13,9,7,10,16,21,27,33,35,34,32,28,23,18,16,16,4,0,0,0,0,0,0,0,0,0,6,23,22,20,17,13,10,7,8,13,18,21,22,23,24,24,22,20,19,16,13,12,11,9,11,16,21
-59,118,8,0,0,0,5,20,20,23,24,23,23,23,23,23,25,26,27,26,25,25,27,27,25,25,26,26,26,26,27,29,28,14,29,30,30,28,28,29,29,28,28,29,29,28,29,30,30,31,31,31,30,30,30,30,30,29,29,29,6,0,0,0,0
-60,163,8,0,0,0,5,21,21,24,24,23,23,22,23,23,24,25,26,26,24,24,26,25,24,24,24,24,24,24,26,26,26,13,26,27,26,26,26,26,26,26,25,25,26,25,25,26,26,27,28,26,26,26,26,27,27,27,26,26,6,0,0,0,0
-59,43,1,0,0,0,5,25,26,27,27,26,25,25,25,25,25,26,27,27,26,25,27,25,24,24,24,24,24,24,24,26,26,13,26,26,26,25,25,25,24,24,23,23,24,23,23,23,23,24,24,23,23,22,22,22,22,22,21,21,5,0,0,0,0
-54,114,14,34,33,29,26,24,19,17,16,18,22,27,31,35,37,39,40,40,37,33,27,21,15,8,2,5,2,0,0,0,0,0,0,0,0,0,3,17,18,18,19,18,18,18,18,18,19,19,21,21,23,23,24,24,23,24,24,24,25,25,26,29,31
-80,114,14,29,29,27,26,23,22,20,17,13,10,6,5,8,13,16,19,22,24,25,25,23,21,18,14,11,2,0,0,0,0,0,0,0,0,0,7,27,26,25,23,18,13,8,3,3,9,16,21,24,28,26,24,22,20,16,11,6,0,6,12,18,23
-89,114,14,19,19,15,11,12,14,15,17,20,21,20,22,25,22,17,16,14,11,7,5,3,1,2,5,4,1,0,0,0,0,0,0,0,0,0,5,20,25,23,19,18,16,15,15,13,9,9,11,12,14,14,13,14,18,16,11,12,14,11,10,12,14
-72,114,14,24,25,26,29,30,31,30,29,27,25,23,19,16,14,13,13,15,17,18,20,20,19,18,17,15,3,0,0,0,0,0,0,0,0,0,2,9,9,9,9,12,16,18,22,24,25,25,26,25,24,24,24,23,24,26,28,30,32,32,33,33,32
-59,118,8,0,0,0,6,21,22,23,24,23,22,23,22,22,23,24,25,25,24,23,24,24,23,22,22,22,23,22,23,24,25,12,25,25,25,24,23,23,23,23,23,22,23,22,23,23,23,24,24,24,23,22,23,23,23,23,23,22,6,0,0,0,0
-60,163,8,0,0,0,6,23,24,25,26,26,24,24,25,25,26,27,28,28,27,27,28,27,26,26,25,25,26,25,27,27,27,14,28,28,28,27,26,27,27,26,26,27,27,25,25,25,26,26,26,26,26,25,25,25,25,25,24,23,6,0,0,0,0
-59,163,8,0,0,0,6,23,24,25,26,25,25,25,25,25,26,27,27,27,26,26,26,26,25,25,25,25,25,25,25,27,27,13,26,26,26,26,25,25,25,25,24,24,24,24,24,25,25,25,25,25,24,24,24,24,25,25,24,24,6,0,0,0,0
-57,43,1,0,0,0,5,21,21,23,23,23,23,23,23,23,23,25,25,25,25,24,25,25,23,23,23,23,23,23,24,24,25,12,25,25,25,24,23,24,24,23,23,23,23,23,23,23,24,24,23,23,23,23,22,22,22,23,22,22,6,0,0,0,0
