-71,125,20,25,23,21,20,20,20,17,18,19,17,16,15,16,16,15,16,16,16,16,16,15,15,15,15,16,4,0,0,0,0,0,0,0,0,0,6,23,24,24,25,25,25,25,25,26,28,28,28,27,25,24,25,26,26,26,26,25,25,26,27,28,28
-72,125,20,25,24,23,22,21,19,19,19,20,18,16,16,16,17,16,16,16,16,16,15,16,16,16,16,17,5,0,0,0,0,0,0,0,0,0,6,25,25,26,28,28,29,28,30,30,29,30,29,29,30,30,30,28,28,28,28,28,30,27,27,29,29
-72,125,20,24,23,21,20,18,18,18,17,16,16,15,15,15,15,15,15,15,14,13,14,14,14,14,14,13,3,0,0,0,0,0,0,0,0,0,6,24,24,24,25,25,26,27,25,23,22,24,27,29,28,26,26,26,26,26,26,27,26,25,26,27,27
-72,125,20,22,20,19,19,18,17,16,15,14,14,14,14,14,14,14,14,14,14,14,14,13,14,13,13,14,3,0,0,0,0,0,0,0,0,0,4,20,22,22,22,23,22,23,24,25,26,28,27,28,26,25,25,25,24,23,24,25,25,25,25,25,23
-72,125,20,24,23,22,20,19,18,18,17,18,16,14,14,14,14,14,15,15,15,14,14,14,14,14,14,14,3,0,0,0,0,0,0,0,0,0,6,25,26,25,23,23,23,24,25,25,27,29,30,29,28,29,27,26,26,26,25,25,27,27,26,27,28
-71,125,20,24,24,23,21,20,19,18,18,18,18,16,16,17,17,16,16,15,15,15,16,16,16,16,16,16,4,0,0,0,0,0,0,0,0,0,6,24,25,26,26,27,29,29,29,30,30,30,31,30,29,29,28,28,28,29,29,30,31,29,28,28,28
-72,125,20,26,25,24,21,20,20,19,19,20,18,17,17,16,16,16,16,16,16,15,16,16,16,16,16,16,5,0,0,0,0,0,0,0,0,0,7,25,25,25,27,27,28,29,29,28,29,31,31,29,29,30,31,31,28,26,26,28,28,31,30,30,29
-72,125,20,24,23,22,21,20,19,18,16,15,14,15,15,15,16,16,16,16,16,15,14,14,13,15,15,15,3,0,0,0,0,0,0,0,0,0,5,24,24,25,27,28,29,28,27,28,30,30,30,29,28,27,27,28,28,28,27,27,26,27,28,29,29
-71,125,20,23,22,21,19,18,18,17,17,18,16,14,13,13,13,14,15,15,14,14,14,13,13,14,13,13,3,0,0,0,0,0,0,0,0,0,5,23,22,23,23,23,24,23,24,25,26,27,27,27,26,26,26,26,26,25,24,24,24,25,26,26,26
-72,125,20,23,23,21,21,19,17,16,16,18,17,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,3,0,0,0,0,0,0,0,0,0,6,23,23,24,25,25,25,25,27,27,27,28,28,26,28,28,28,26,26,26,25,26,26,25,26,26,26
-72,125,20,23,22,21,20,19,18,17,16,15,15,15,14,14,14,14,15,15,15,14,14,13,13,14,13,14,4,0,0,0,0,0,0,0,0,0,6,23,23,23,25,26,26,26,25,26,26,26,28,28,28,27,27,26,25,25,26,27,27,25,25,27,27
-72,125,20,22,22,21,19,17,17,16,15,16,15,14,14,14,14,14,14,14,14,13,13,13,13,14,14,14,4,0,0,0,0,0,0,0,0,0,5,23,23,25,24,24,25,26,26,26,29,29,28,27,26,26,26,25,24,24,24,24,24,25,25,24,24
-71,125,20,21,21,20,18,17,17,16,16,16,14,13,13,13,13,14,14,13,13,12,13,12,12,13,13,14,3,0,0,0,0,0,0,0,0,0,5,21,21,23,23,23,23,25,25,26,27,28,26,25,25,25,23,23,24,24,25,25,24,24,24,25,25
-71,125,20,26,25,24,23,21,19,19,20,21,19,17,17,17,18,17,17,16,15,15,15,15,15,15,15,17,4,0,0,0,0,0,0,0,0,0,7,27,28,28,28,29,28,29,31,32,31,32,33,33,32,30,30,30,29,30,30,30,29,29,29,30,32
-72,125,20,25,25,23,22,20,20,19,19,20,19,16,16,17,17,17,16,17,16,15,15,15,15,15,15,16,4,0,0,0,0,0,0,0,0,0,6,27,27,27,27,26,26,28,28,27,29,31,30,31,31,29,29,29,29,29,29,29,28,28,29,29,28
-72,125,20,21,21,20,19,19,18,16,14,12,13,15,14,14,14,14,14,14,14,14,15,14,14,13,13,14,4,0,0,0,0,0,0,0,0,0,5,21,21,23,24,24,24,25,27,26,25,26,26,25,25,26,28,26,26,26,25,24,24,24,24,25,26
-72,125,20,23,22,20,19,19,18,17,17,18,17,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,4,0,0,0,0,0,0,0,0,0,6,22,23,25,26,26,26,26,26,27,28,29,29,28,27,27,28,27,26,26,26,26,26,25,26,27,26
