-78,114,14,25,25,22,21,22,23,23,17,11,10,7,7,9,11,14,17,19,23,25,25,24,22,19,16,13,4,0,0,0,0,0,0,0,0,0,7,28,29,31,30,28,25,21,16,11,10,13,18,21,25,27,28,27,23,21,19,14,9,7,9,12,16
-56,114,14,9,5,7,13,18,23,27,30,31,33,32,30,28,24,19,15,10,5,1,6,10,14,17,18,20,5,0,0,0,0,0,0,0,0,0,4,17,20,23,25,26,26,26,24,22,18,15,12,10,10,13,17,21,25,28,32,34,34,33,32,30,28
-60,46,2,0,0,0,7,24,25,27,27,25,25,25,25,26,26,27,28,28,27,26,28,28,26,26,26,25,26,25,26,26,27,13,26,26,26,25,24,24,24,24,23,22,23,22,22,23,22,23,23,22,22,22,21,21,21,21,20,20,5,0,0,0,0
-61,118,8,0,0,0,5,21,21,23,24,22,22,22,22,22,22,23,25,24,24,24,24,24,23,23,23,23,23,22,23,24,24,12,23,23,23,22,21,21,21,21,20,20,20,20,20,21,21,21,19,16,18,23,25,21,21,24,22,20,6,0,0,0,0
-60,163,8,0,0,0,7,28,28,30,29,28,27,27,26,25,26,27,27,26,25,25,25,24,24,23,23,23,22,22,23,23,23,12,23,23,23,22,21,22,21,20,19,20,20,19,19,20,20,20,19,19,19,18,18,18,18,17,17,17,5,0,0,0,0
-60,163,8,0,0,0,6,29,29,31,31,29,28,28,27,27,28,28,29,28,27,27,27,26,24,24,24,24,24,23,24,25,25,12,24,25,25,24,23,23,22,22,21,21,22,20,20,21,21,21,21,20,19,19,19,19,18,18,18,17,3,0,0,0,0
-60,43,1,0,0,0,7,26,27,28,28,26,25,25,25,25,26,27,27,26,25,25,25,25,23,23,23,23,23,22,23,24,24,12,23,24,24,23,22,22,22,21,21,22,22,21,21,21,22,22,21,21,20,20,19,19,18,19,19,18,5,0,0,0,0
-84,154,55,18,23,25,28,31,33,30,25,21,21,21,18,13,10,11,9,5,4,2,6,7,8,10,10,10,3,0,0,0,0,0,0,0,0,0,3,12,13,14,13,10,9,7,3,4,7,9,13,19,25,29,33,35,35,35,37,35,31,25,20,13,7
-54,114,14,25,27,28,29,28,26,24,22,20,18,18,19,20,23,25,27,28,28,27,25,21,17,13,9,6,1,0,0,0,0,0,0,0,0,0,5,23,23,22,20,17,13,9,5,5,10,16,22,27,31,34,36,36,36,33,31,27,23,17,14,13,14
-74,114,14,31,26,23,20,18,16,16,17,19,21,21,19,18,17,14,13,13,15,18,21,23,24,24,24,22,5,0,0,0,0,0,0,0,0,0,2,9,13,17,20,23,27,29,32,33,31,30,28,26,23,18,14,10,6,10,16,22,29,34,37,40,42
-61,118,8,0,0,0,8,31,32,34,34,33,32,31,30,30,30,31,32,31,30,29,30,30,27,27,27,26,26,26,26,28,29,14,28,28,27,27,27,26,26,25,24,24,24,24,24,24,24,24,23,23,21,21,21,21,21,21,20,20,5,0,0,0,0
-62,163,8,0,0,0,2,8,8,9,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,4,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,1,0,0,0,0
-61,43,1,0,0,0,7,28,28,29,29,28,27,27,27,27,27,28,29,29,27,27,29,28,27,27,27,26,26,26,26,28,29,14,28,28,28,28,27,26,26,25,25,25,24,25,24,25,25,25,24,23,23,22,21,22,21,21,21,20,5,0,0,0,0
-78,114,14,30,30,28,26,24,21,17,13,9,6,6,8,11,15,19,23,27,29,29,29,26,23,19,16,13,3,0,0,0,0,0,0,0,0,0,5,23,24,24,22,21,20,19,19,20,20,22,25,25,26,26,25,22,19,16,13,12,9,12,16,21,24
-51,114,14,18,23,27,30,32,33,33,32,30,27,23,19,17,15,16,18,20,22,23,24,23,21,19,16,14,3,0,0,0,0,0,0,0,0,0,5,20,22,23,22,21,19,17,13,8,4,4,8,13,18,21,25,28,29,29,30,28,24,20,14,10,6
-79,114,14,28,28,27,28,28,20,16,13,9,10,10,10,11,12,16,20,23,25,27,25,22,23,21,16,12,2,0,0,0,0,0,0,0,0,0,5,24,25,26,24,22,21,19,19,19,20,22,24,25,25,25,25,22,19,17,13,8,9,12,17,19,22
-72,114,14,33,25,19,13,7,5,10,16,21,27,32,33,32,31,27,23,18,11,5,3,8,13,17,20,22,6,0,0,0,0,0,0,0,0,0,1,6,3,5,10,14,19,23,26,29,30,29,28,25,20,15,10,4,5,13,19,27,33,37,40,42,42
-61,118,8,0,0,0,8,31,31,33,32,31,30,30,29,29,30,30,30,29,28,28,28,28,26,26,26,26,26,25,26,27,27,13,26,26,26,25,24,24,24,23,22,22,22,21,21,21,22,22,21,20,19,18,18,18,18,18,18,18,5,0,0,0,0
-60,163,8,0,0,0,7,32,32,34,34,32,32,31,30,30,30,31,31,31,29,29,30,29,28,28,28,27,27,26,27,29,28,13,28,28,28,28,26,26,26,25,23,23,23,23,23,24,24,25,24,24,22,21,22,21,22,22,21,21,5,0,0,0,0
-60,43,1,0,0,0,6,25,25,27,27,26,25,25,24,24,25,25,25,25,23,23,24,23,22,22,22,22,22,21,21,22,22,11,22,22,22,21,20,20,20,19,20,19,19,19,18,19,19,20,19,18,18,17,17,18,17,18,17,16,5,0,0,0,0
-54,114,14,17,21,25,28,30,30,30,29,26,23,20,17,15,13,13,16,18,20,21,21,21,19,18,17,16,3,0,0,0,0,0,0,0,0,0,4,18,19,21,20,19,18,15,12,8,3,2,7,12,16,20,24,26,28,28,28,27,24,19,14,11,8
-85,114,14,26,23,14,13,18,19,21,26,28,30,31,32,32,30,25,18,12,6,2,4,10,14,15,18,21,5,0,0,0,0,0,0,0,0,0,5,18,14,15,19,20,21,23,24,21,19,21,20,17,10,5,5,9,13,16,22,28,31,29,26,28,30
-74,114,14,32,25,19,13,7,1,5,11,18,25,30,35,37,38,37,35,32,28,21,14,7,3,6,11,14,3,0,0,0,0,0,0,0,0,0,3,12,13,13,12,10,6,5,5,7,10,13,15,17,19,20,20,19,18,17,18,19,22,27,31,35,35
-60,118,8,0,0,0,7,29,30,31,31,29,29,28,28,28,28,29,30,29,28,27,28,27,26,26,25,25,25,24,24,26,26,13,26,26,25,24,24,24,24,23,23,23,23,21,21,22,22,22,21,20,20,19,19,18,18,17,18,17,4,0,0,0,0
-60,118,8,0,0,0,7,27,27,27,27,26,25,26,25,25,26,26,27,26,25,25,25,24,23,23,22,22,22,22,22,23,24,11,22,23,22,21,21,20,20,20,22,24,21,19,19,19,19,20,19,18,18,18,18,18,18,17,16,16,4,0,0,0,0
-60,163,8,0,0,0,7,26,27,28,28,27,26,26,25,25,25,27,27,27,26,25,25,25,24,24,24,23,23,22,23,25,25,12,24,24,24,23,23,23,22,21,20,20,21,20,20,20,21,21,20,20,19,18,18,18,18,18,17,17,5,0,0,0,0
-60,43,1,0,0,0,7,28,29,31,31,30,29,28,28,28,28,30,30,29,28,28,29,28,27,27,26,26,26,25,26,27,27,14,27,28,27,26,25,25,25,25,24,24,24,23,23,23,23,23,23,22,22,21,21,21,20,20,19,19,5,0,0,0,0
-53,114,14,12,17,21,24,27,29,29,28,27,24,21,17,13,10,9,11,13,15,17,20,20,20,19,17,17,4,0,0,0,0,0,0,0,0,0,4,16,17,18,19,18,17,16,13,10,5,1,5,8,13,17,21,24,25,25,26,26,23,19,14,10,6
-84,114,14,23,18,13,13,18,21,25,30,32,33,35,33,30,24,20,19,15,10,4,6,11,13,17,20,20,4,0,0,0,0,0,0,0,0,0,5,20,18,19,21,20,19,22,21,20,19,16,12,10,12,11,11,13,15,20,25,28,27,26,26,26,26
