-70,46,2,25,25,24,23,23,23,22,20,19,21,21,21,21,22,23,23,22,21,20,20,20,20,21,20,19,4,0,0,0,0,0,0,0,0,0,3,15,16,18,18,18,18,20,20,21,22,24,24,24,24,24,24,24,22,22,22,22,23,22,23,25,25
-70,98,6,26,26,25,25,24,23,23,20,19,21,22,22,23,23,24,23,22,22,21,21,21,21,22,21,20,5,0,0,0,0,0,0,0,0,0,4,16,17,18,18,19,20,21,21,22,23,25,26,26,25,25,25,25,23,23,24,24,24,23,25,27,27
-71,131,5,25,25,25,23,23,23,22,23,23,22,21,20,21,21,23,23,22,21,21,21,21,22,22,22,21,6,0,0,0,0,0,0,0,0,0,4,16,17,19,21,21,21,22,23,23,24,25,26,26,26,25,25,24,23,23,22,23,23,23,25,25,25
-71,163,8,23,23,21,21,20,20,19,18,18,19,20,20,21,21,22,21,20,20,20,20,19,19,19,19,19,5,0,0,0,0,0,0,0,0,0,4,14,15,16,18,18,18,18,19,20,21,23,23,22,22,21,22,23,21,21,21,21,20,19,20,22,22
-71,114,14,23,23,23,22,22,21,20,20,20,21,21,21,21,21,21,22,21,20,20,20,20,20,21,20,20,5,0,0,0,0,0,0,0,0,0,3,15,16,17,17,18,19,19,19,21,22,23,24,23,22,21,22,23,21,21,21,21,21,21,22,22,22
-73,125,20,22,22,23,23,23,23,22,22,21,21,21,20,20,20,21,21,21,21,21,21,21,20,20,20,20,5,0,0,0,0,0,0,0,0,0,4,16,16,17,18,18,19,20,20,20,21,21,22,23,22,22,22,21,20,21,21,21,21,21,21,22,23
-73,125,20,25,26,26,26,26,26,25,27,29,27,25,24,24,25,25,25,24,25,24,25,24,24,25,25,25,6,0,0,0,0,0,0,0,0,0,5,18,19,20,21,22,23,25,25,24,26,27,27,26,26,26,26,25,25,25,25,24,25,25,26,26,26
-73,125,20,23,23,23,22,23,23,22,20,19,21,22,22,22,22,22,22,22,23,22,21,21,21,21,21,20,5,0,0,0,0,0,0,0,0,0,4,17,17,17,17,18,19,21,22,21,23,24,24,24,24,23,23,21,21,22,23,22,22,22,23,23,23
-73,125,20,24,23,24,23,23,23,23,25,26,24,23,23,24,23,23,23,23,24,24,22,22,22,22,21,21,5,0,0,0,0,0,0,0,0,0,5,18,18,18,18,20,21,21,22,23,23,24,24,24,25,25,24,23,22,22,23,23,24,23,23,24,26
-73,125,20,23,22,22,22,21,21,21,23,24,22,20,21,21,21,22,22,21,21,21,21,20,20,20,19,19,4,0,0,0,0,0,0,0,0,0,3,16,16,17,18,18,19,20,21,20,21,22,23,23,22,22,22,22,22,22,22,21,22,21,21,21,21
